new serial,Old Serial,Deployment Stage,LATEST serial,NEW Serial,OLD Serial,Title,Note,,Key,Item Type,Publication Year,Author,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
48,48,Novel Index Design (Research Prototype),48,48,358,SIndex: a scalable learned index for string keys,,,64ISSEKL,journalArticle,2020,"Wang, Youyun; Tang, Chuzhe; Wang, Zhaoguo; Chen, Haibo",dl.acm.org,,9781450380690,10.1145/3409963.3410496,https://dl.acm.org/doi/abs/10.1145/3409963.3410496?casa_token=i4ucXQMJ--sAAAAA:JCTWwrkC4l788CCu01JH2r7dnrLhhfOwAiSlQrt6xlIPSa6Oiswz59g8tFJyY30sZwWD111grDgZ8XQ,"The learned index structures have reshaped our perspectives on the design of traditional data structures. With machine learning (ML) techniques, they can achieve better lookup performance than existing indexes. However, current learned indexes primarily focus on integer-key workloads and failed to efficiently index variable-length string keys. We introduce SIndex, a concurrent learned index specialized in variable-length string key workloads. To reduce the cost of model inference and data accesses, SIndex groups keys with shared prefixes and use each key's unique part for model training. We evaluate SIndex with both real-world and synthesized datasets. The result shows that SIndex can achieve up to 91% better performance compared with other state-of-the-art index structures. We have open-sourced our implementation1.",2020-08,2025-12-21 21:44:01,2025-12-21 21:44:01,,17-24,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,Data structures; CCS CONCEPTS •; Information systems →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,System Integration,49,49,359,LearnedKV: Integrating LSM and Learned Index for Superior Performance on SSD,,,8S237PFX,journalArticle,2024,"Wang, Wenlong; Du, David Hung-Chang",,,,,http://arxiv.org/abs/2406.18892,"In this paper, we introduce LearnedKV, a novel tiered key-value (KV) store that seamlessly integrates a Log-Structured Merge (LSM) tree with a Learned Index. This integration yields superior read and write performance compared to standalone indexing structures on SSDs. Our design capitalizes on the LSM tree's high write/update throughput and the Learned Index's fast read capabilities, enabling each component to leverage its strengths. We analyze the impact of size on LSM tree performance and demonstrate how the tiered Learned Index significantly mitigates the LSM tree's size-related performance degradation, particularly by reducing the intensive I/O operations resulting from re-insertions after Garbage Collection (GC). To maintain rapid read performance for newly inserted keys, we introduce a non-blocking conversion mechanism that efficiently transforms the existing LSM tree into a new Learned Index with minimal overhead during GC. Our experimental results, conducted across diverse workloads, show that LearnedKV outperforms state-of-the-art solutions by up to 1.32x in read requests and 1.31x in write performance.",1905-07,2025-12-21 21:44:01,2025-12-21 21:44:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,System Integration,50,50,360,SwiftKV: A Metadata Indexing Scheme Integrating LSM-Tree and Learned Index for Distributed KV Stores,,,E4U9IBZJ,journalArticle,,"Wang, Z; Feng, J; Dun, L; Bao, Z; Internet, C Du - Future; 2025, undefined",mdpi.com,,,,https://www.mdpi.com/1999-5903/17/9/398,,,2025-12-21 21:44:01,2025-12-21 21:44:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,System Integration,51,87,649,From wisckey to bourbon: A learned index for log-structured merge trees,,,BZXS3XHS,journalArticle,2020,"Dai, Yifan; Xu, Yien; Ganesan, Aishwarya; Alagappan, Ramnatthan; Kroth, Brian; Arpaci-Dusseau, Andrea C.; Arpaci-Dusseau, Remzi H.","Proceedings of the 14th USENIX Symposium on Operating Systems Design and Implementation, OSDI 2020",,9781939133199,,https://arxiv.org/pdf/2005.14213,"We introduce BOURBON, a log-structured merge (LSM) tree that utilizes machine learning to provide fast lookups. We base the design and implementation of BOURBON on empirically-grounded principles that we derive through careful analysis of LSM design. BOURBON employs greedy piecewise linear regression to learn key distributions, enabling fast lookup with minimal computation, and applies a cost-benefit strategy to decide when learning will be worthwhile. Through a series of experiments on both synthetic and real-world datasets, we show that BOURBON improves lookup performance by 1.23×-1.78× as compared to state-of-the-art production LSMs.",1905-07,2025-12-23 8:25:01,2025-12-23 8:25:01,,155-171,,,,,,,,,,,,,,,,,,,,Publisher: USENIX Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,Novel Index Design (Research Prototype),52,52,363,High Performance or Low Memory? An Updatable Learned Index Framework for Time-Space Tradeoff,,,85YRXJEG,journalArticle,2025,"Wang, H; Wang, X; Ge, J; Chai, Y; …, L Liang - Proceedings of the ACM on; 2025, undefined",dl.acm.org,,,10.1145/3769800,https://dl.acm.org/doi/abs/10.1145/3769800?casa_token=mzUu4KbUnaIAAAAA:BzaRW3BjEIf4IqMANGnwYnCoQs4CCYqaSttGH_CxJrOnt9WEDbXxVDGBoOXRRr3yoMe2J7s_4el3Ax8,"<p>The first generation of learned indexes inherently achieved lower space overhead than traditional index structures, establishing this advantage as one of the pivotal research directions in index optimization. However, in their pursuit of peak performance, designers often significantly increase space overhead, which becomes infeasible in scenarios with limited storage space. Furthermore, the design of current learned indexes optimized for time-space tradeoff is flawed, as they collapse catastrophically under prevalent dense or duplicate insertion workloads. To address these challenges, we first quantitatively analyze the time-space correlation characteristics of learned indexes from a theoretical perspective and identify the core influencing factors. Based on this, time-space cost minimization function models are established and an updatable learned index framework, LIFT, is constructed. Furthermore, LIFT incorporates specifically designed structural adjustment mechanisms to effectively counter existing poisoning attacks, significantly enhancing index robustness without increasing time-space cost. Evaluation results demonstrate that LIFT consistently achieves the optimal time-space tradeoff across various workloads and datasets, outperforming all other state-of-the-art indexes.</p>",2025-12,2025-12-21 21:44:01,2025-12-21 21:44:01,,1-26,,6,3,,,,,,,,,,,,,,,,,,,,,learned index; database; cost model; time-space tradeoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,System Integration,53,53,365,Leaderkv: Improving read performance of kv stores via learned index and decoupled kv table,,,Z6SWXVQM,journalArticle,,"Wang, Y; Yuan, J; Wu, S; Liu, H; …, J Chen - 2024 IEEE 40th; 2024, undefined",ieeexplore.ieee.org,,,,https://ieeexplore.ieee.org/abstract/document/10597902/,,,2025-12-21 21:44:01,2025-12-21 21:44:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,System Integration,54,54,372,ShapeShifter: Workload-Aware Adaptive Evolving Index Structures Based on Learned Models,,,K4Q7JK6K,journalArticle,2025,"Wang, Hui; Wang, Xin; Ge, Jiake; Liang, Lei; Yi, Peng",dl.acm.org,,9798400712746,10.1145/3696410.3714681,https://dl.acm.org/doi/abs/10.1145/3696410.3714681?casa_token=dn1BqVQQJ1AAAAAA:Qu3bglY4FWJFXN-b1IH_yUGSff2Ql56Kv2-IX_jx4e1So3DZ4krrcQ5-JNw0eP3rp1zL3tczlaetz-A,"In real-world tasks like data management and Web search, index operations often exhibit strong skewness, unlike standard benchmarks with uniform data distribution. While learned indexes improve query and update efficiency, they typically fail to address the skewed workload access, often prioritizing a single performance metric at the cost of overall index effectiveness. Additionally, the full reliance on learned models can increase vulnerability to attacks, compromising system stability. To address these challenges, we propose ShapeShifter, an adaptive evolutionary structure based on traditional indexes, capable of dynamically adjusting node structures according to the workload. ShapeShifter introduces a node evolution strategy with workload-skew-aware policies to adaptively adjust and optimize the partial index structure, leveraging a hybrid mechanism that combines traditional and learned structures for robust performance and optimal time-space tradeoff under skewed workloads and extreme data conditions. The evaluation results show that ShapeShifter achieves the optimal tradeoff while maintaining robustness.",2025-04,2025-12-21 21:44:02,2025-12-21 21:44:02,,4111-4123,,,,,,,,,,,,,,,,,,,,"Publisher: Association for Computing Machinery, Inc",,,,data management; evolving strategy; index structure; learned model; web search engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,System Integration,55,55,391,XStore: Fast RDMA-Based Ordered Key-Value Store Using Remote Learned Cache,,,JVJM626Z,journalArticle,2021,"Wei, Xingda; Chen, Rong; Chen, Haibo; Zang, Binyu",dl.acm.org,,,10.1145/3468520,https://dl.acm.org/doi/abs/10.1145/3468520?casa_token=lx5kJp0j_DEAAAAA:oStfeOH17mBDktmxjl8bPTyuwWYdn-Wuv8OQ4q6dWrLO9lqnfDrGFuv9sho6Q9o5NA4fi7-ak8ICbWc,"RDMA (Remote Direct Memory Access) has gained considerable interests in network-attached in-memory key-value stores. However, traversing the remote tree-based index in ordered key-value stores with RDMA becomes a critical obstacle, causing an order-of-magnitude slowdown and limited scalability due to multiple round trips. Using index cache with conventional wisdom - caching partial data and traversing them locally - usually leads to limited effect because of unavoidable capacity misses, massive random accesses, and costly cache invalidations. We argue that the machine learning (ML) model is a perfect cache structure for the tree-based index, termed learned cache. Based on it, we design and implement XStore, an RDMA-based ordered key-value store with a new hybrid architecture that retains a tree-based index at the server to perform dynamic workloads (e.g., inserts) and leverages a learned cache at the client to perform static workloads (e.g., gets and scans). The key idea is to decouple ML model retraining from index updating by maintaining a layer of indirection from logical to actual positions of key-value pairs. It allows a stale learned cache to continue predicting a correct position for a lookup key. XStore ensures correctness using a validation mechanism with a fallback path and further uses speculative execution to minimize the cost of cache misses. Evaluations with YCSB benchmarks and production workloads show that a single XStore server can achieve over 80 million read-only requests per second. This number outperforms state-of-the-art RDMA-based ordered key-value stores (namely, DrTM-Tree, Cell, and eRPC+Masstree) by up to 5.9× (from 3.7×). For workloads with inserts, XStore still provides up to 3.5× (from 2.7×) throughput speedup, achieving 53M reqs/s. The learned cache can also reduce client-side memory usage and further provides an efficient memory-performance tradeoff, e.g., saving 99% memory at the cost of 20% peak throughput.",2021-08,2025-12-21 21:44:02,2025-12-21 21:44:02,,,,3,17,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,index caching; machine learning model; RDMA-based key-value store; tree-based index structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,Industrial / Production Deployment,56,85,634,Learned Indexes for a Google-scale Disk-based Database,,,YXXPFD26,journalArticle,2020,"Abu-Libdeh, Hussam; Altınbüken, Deniz; Beutel, Alex; Chi, Ed H.; Doshi, Lyric; Kraska, Tim; Xiaozhou; Li; Ly, Andy; Olston, Christopher",,,,,https://arxiv.org/pdf/2012.12501,"There is great excitement about learned index structures, but understandable skepticism about the practicality of a new method uprooting decades of research on B-Trees. In this paper, we work to remove some of that uncertainty by demonstrating how a learned index can be integrated in a distributed, disk-based database system: Google's Bigtable. We detail several design decisions we made to integrate learned indexes in Bigtable. Our results show that integrating learned index significantly improves the end-to-end read latency and throughput for Bigtable.",2020-12,2025-12-23 8:25:01,2025-12-23 8:25:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,Novel Index Design (Research Prototype),57,57,401,NFL: robust learned index via distribution transformation,,,3CEAFRTG,journalArticle,,"Wu, S; Cui, Y; Yu, J; Sun, X; Kuo, TW; arXiv, CJ Xue - arXiv preprint; 2022, undefined",arxiv.org,,,,https://arxiv.org/abs/2205.11807,"Recent works on learned index open a new direction for the indexing field. The key insight of the learned index is to approximate the mapping between keys and positions with piece-wise linear functions. Such methods require partitioning key space for a better approximation. Although lots of heuristics are proposed to improve the approximation quality, the bottleneck is that the segmentation overheads could hinder the overall performance. This paper tackles the approximation problem by applying a \textit{distribution transformation} to the keys before constructing the learned index. A two-stage Normalizing-Flow-based Learned index framework (NFL) is proposed, which first transforms the original complex key distribution into a near-uniform distribution, then builds a learned index leveraging the transformed keys. For effective distribution transformation, we propose a Numerical Normalizing Flow (Numerical NF). Based on the characteristics of the transformed keys, we propose a robust After-Flow Learned Index (AFLI). To validate the performance, comprehensive evaluations are conducted on both synthetic and real-world workloads, which shows that the proposed NFL produces the highest throughput and the lowest tail latency compared to the state-of-the-art learned indexes.",,2025-12-21 21:44:02,2025-12-21 21:44:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Novel Index Design (Research Prototype),58,84,611,The Concurrent Learned Indexes for Multicore Data Storage,,,L6C6AKJF,journalArticle,2022,"Wang, Zhaoguo; Chen, Haibo; Wang, Youyun; Tang, Chuzhe; Wang, Huan",ACM Transactions on Storage,,,10.1145/3478289,,"We present XIndex, which is a concurrent index library and designed for fast queries. It includes a concurrent ordered index (XIndex-R) and a concurrent hash index (XIndex-H). Similar to a recent proposal of the learned index, the indexes in XIndex use learned models to optimize index efficiency. Compared with the learned index, for the ordered index, XIndex-R is able to handle concurrent writes effectively and adapts its structure according to runtime workload characteristics. For the hash index, XIndex-H is able to avoid the resize operation blocking concurrent writes. Furthermore, the indexes in XIndex can index string keys much more efficiently than the learned index. We demonstrate the advantages of XIndex with YCSB, TPC-C (KV), which is a TPC-C-inspired benchmark for key-value stores, and micro-benchmarks. Compared with ordered indexes of Masstree and Wormhole, XIndex-R achieves up to 3.2× and 4.4× performance improvement on a 24-core machine. Compared with hash indexes of Intel TBB HashMap, XIndex-H achieves up to 3.1× speedup. The performance further improves by 91% after adding the optimizations on indexing string keys. The library is open-sourced.1",2022-02,2025-12-21 20:03:11,2025-12-21 20:03:11,,,,1,18,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,indexing; concurrent algorithms; Learned indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,Novel Index Design (Research Prototype),59,59,415,LITS: An Optimized Learned Index for Strings (An Extended Version),,,KIBDQ9N9,journalArticle,2024,"Yang, Yifan; Chen, Shimin",,,,,https://arxiv.org/pdf/2407.11556,"Index is an important component in database systems. Learned indexes have been shown to outperform traditional tree-based index structures for fixed-sized integer or floating point keys. However, the application of the learned solution to variable-length string keys is under-researched. Our experiments show that existing learned indexes for strings fail to outperform traditional string indexes, such as HOT and ART. String keys are long and variable sized, and often contain skewed prefixes, which make the last-mile search expensive, and adversely impact the capability of learned models to capture the skewed distribution of string keys. In this paper, we propose a novel learned index for string keys, LITS (Learned Index with Hash-enhanced Prefix Table and Sub-tries). We propose an optimized learned model, combining a global Hash-enhanced Prefix Table (HPT) and a per-node local linear model to better distinguish string keys. Moreover, LITS exploits compact leaf nodes and hybrid structures with a PMSS model for efficient point and range operations. Our experimental results using eleven string data sets show that LITS achieves up to 2.43x and 2.27x improvement over HOT and ART for point operations, and attains comparable scan performance.",2024-07,2025-12-21 21:44:03,2025-12-21 21:44:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,Novel Index Design (Research Prototype),60,83,610,WIPE: A Write-Optimized Learned Index for Persistent Memory,,,3TJCWGUP,journalArticle,2024,"Wang, Zhonghua; Ding, Chen; Song, Fengguang; Lu, Kai; Wan, Jiguang; Tan, Zhihu; Xie, Changsheng; Li, Guokuan",ACM Transactions on Architecture and Code Optimization,,,10.1145/3634915,,"Learned Index, which utilizes effective machine learning models to accelerate locating sorted data positions, has gained increasing attention in many big data scenarios. Using efficient learned models, the learned indexes build large nodes and flat structures, thereby greatly improving the performance. However, most of the state-of-the-art learned indexes are designed for DRAM, and there is hence an urgent need to enable high-performance learned indexes for emerging Non-Volatile Memory (NVM). In this article, we first evaluate and analyze the performance of the existing learned indexes on NVM. We discover that these learned indexes encounter severe write amplification and write performance degradation due to the requirements of maintaining large sorted/semi-sorted data nodes. To tackle the problems, we propose a novel three-tiered architecture of write-optimized persistent learned index, which is named WIPE, by adopting unsorted fine-granularity data nodes to achieve high write performance on NVM. Thereinto, we devise a new root node construction algorithm to accelerate searching numerous small data nodes. The algorithm ensures stable flat structure and high read performance in large-size datasets by introducing an intermediate layer (i.e., index nodes) and achieving accurate prediction of index node positions from the root node. Our extensive experiments on Intel DCPMM show that WIPE can improve write throughput and read throughput by up to 3.9× and 7×, respectively, compared to the state-of-the-art learned indexes. Also, WIPE can recover from a system crash in ∼18 ms. WIPE is free as an open-source software package.",2024-02,2025-12-21 20:03:11,2025-12-21 20:03:11,,,,2,21,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,learned index; key-value store; NVM-based learned index; persistent index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,Novel Index Design (Research Prototype),61,61,418,ALT-Index: A Hybrid Learned Index for Concurrent Memory Database Systems,,,HWLQ28RQ,journalArticle,,"Yang, Y; Wang, F; Lei, M; …, P Zhang - 2025 IEEE 41st; 2025, undefined",ieeexplore.ieee.org,,9798331536039,10.1109/ICDE65448.2025.00014,https://ieeexplore.ieee.org/abstract/document/11112964/,"The learned index technique has been widely explored as a strong competitor to traditional indexes. It adopts static learning-based models to fit the distribution of sorted data and locate keys through predictions, which shows outstanding query speed. However, frequent retraining is required when it comes to concurrent insertion scenarios. Despite existing studies introducing sparse slots and delta buffers to mitigate this effect, the read-write performance of the learned index still falls short of expectations, especially in concurrent conditions. In this paper, we first propose a novel hybrid index scheme that combines a read-efficient learned index with an insert-efficient Adaptive Radix Tree (ART) to realize high performance for read-write scenarios. However, it is not trivial due to expensive model prediction errors, complicated model hierarchy, and redundant node traversals. Therefore, we then introduce ALT-index, an efficient hybrid learned index with high concurrency for memory database systems. ALT-index highlights a delicate two-tier architecture where linear data are stored in the learned index without prediction errors and conflict data are hosted in the lower layer as an optimized ART. Besides, we develop a Greedy Pessimistic Linear (GPL) algorithm to support flattened data structures for concurrency. In the optimized ART layer, we introduce a fast and compact pointer buffer to further improve the overall performance. Experimental results conducted on various real-world datasets with 32 threads illustrate that ALT-index improves performance by up to 1.9x, 2.1x, and 2.3x compared with ALEX+, FINEdex, and XIndex in read-write-balanced scenarios, respectively.",,2025-12-21 21:44:03,2025-12-21 21:44:03,,,,,,,,,,,,,,,,,,,,,,,,,,Learned index; Index structure; Index Terms-Memory database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,Novel Index Design (Research Prototype),62,62,419,A Dynamic Characteristic Aware Index Structure Optimized for Real-world Datasets,,,APENF29T,journalArticle,2025,"Yang, Jin; Yoon, Heejin; Yun, Gyeongchan; Noh, Sam H.; Choi, Young Ri",dl.acm.org,,,10.1145/3707642,https://dl.acm.org/doi/abs/10.1145/3707642,"Many datasets in real life are complex and dynamic, that is, their key densities are varied over the whole key space and their key distributions change over time. It is challenging for an index structure to efficiently support all key operations for data management, in particular, search, insert, and scan, for such dynamic datasets. In this article, we present DyTIS (Dynamic dataset Targeted Index Structure), an index that targets dynamic datasets. DyTIS, although based on the structure of Extendible hashing, leverages the CDF of the key distribution of a dataset, and learns and adjusts its structure as the dataset grows. The key novelty behind DyTIS is to group keys by the natural key order and maintain keys in sorted order in each bucket to support scan operations within a hash index. We also define what we refer to as a dynamic dataset and propose a means to quantify its dynamic characteristics. Our experimental results show that DyTIS provides higher performance than the state-of-the-art learned index for the dynamic datasets considered. We also analyze the effects of the dynamic characteristics of datasets, including sequential datasets, as well as the effect of multiple threads on the performance of the indexes.",2025-02,2025-12-21 21:44:03,2025-12-21 21:44:03,,15-15,,2,21,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,index structure; Additional Key Words and PhrasesDynamic datasets; key distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,System Integration,63,82,609,TieredKV: A Tiered LSM-Learned Index Design for Superior Performance on Storage,,,RVUHRXKG,journalArticle,2025,"Wang, Wenlong; Du, David Hung Chang","Proceedings of the 18th ACM International Systems and Storage Conference, SYSTOR 2025",,9798400721199,10.1145/3757347.3759135,,"We present TieredKV, a novel tiered key-value store that seamlessly integrates a Log-Structured Merge (LSM) tree with a Learned Index to achieve superior read and write performance on storage systems. While existing approaches use learned indexes primarily as auxiliary components within LSM trees, TieredKV employs a two-tier design where the LSM tree handles recent write operations while a separate Learned Index accelerates read performance. Our design includes a non-blocking conversion mechanism that efficiently transforms LSM data into a Learned Index during garbage collection, maintaining high performance without interrupting operations. TieredKV dramatically reduces LSM size through this tiered approach, leading to significant performance gains in both reads and writes. Extensive evaluations across diverse workloads show that TieredKV outperforms state-of-the-art LSM-based solutions by up to 4.32x for read operations and 1.43x for writes, and achieves up to 7.9x better overall performance compared with on-storage Learned Index. The system demonstrates robust performance across different data distributions, access patterns, and storage media including both SSDs and HDDs.",2025-09,2025-12-21 20:03:11,2025-12-21 20:03:11,,107-121,,,,,,,,,,,,,,,,,,,,"Publisher: Association for Computing Machinery, Inc",,,,Key-Value Store; Learned Index; Log-Structured Merge Tree; Storage System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,Novel Index Design (Research Prototype),64,64,439,DTtree: A Novel Read/Write-Optimized Learned Index for Database Systems,,,Y38GJE9P,journalArticle,,"Yu, Z; Jin, P; Chu, Z; Luo, Y; …, X Wang - 2023 IEEE 29th; 2023, undefined",ieeexplore.ieee.org,,,,https://ieeexplore.ieee.org/abstract/document/10476270/,"This paper proposes a novel learned index called DTtree that can optimize both read and write performance. DTtree adopts two novel designs. (1) To improve write performance, DTtree uses a dynamic filling rate and overflow buffers for each leaf node. The filling rate of a leaf node is dynamically determined according to the read/write tendency of the leaf node so as to improve space efficiency and reduce structure modification operations. In addition, DTtree uses an overflow buffer for a line in each leaf node. The overflow buffer is also dynamically allocated, and only write-intensive leaf nodes may have overflow buffers, reducing unnecessary space costs. (2) To improve read performance, we propose an in-node hot cache to cache hot records within a line of a leaf node, reducing additional memory access to the overflow buffer. As skewed access is common in real-world applications, using in-node hot caches can efficiently improve the read performance of DTtree. We experimentally evaluate DTtree on three datasets. The results on various workloads show that DTtree can reduce SMO operations effectively and achieve higher read/write performance than B+-tree and two representative learned indexes, PGM-Index and ALEX.",,2025-12-21 21:44:03,2025-12-21 21:44:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,67,Novel Index Design (Research Prototype),67,67,451,Making in-memory learned indexes efficient on disk,,,RIZIHE6S,journalArticle,2024,"Zhang, Jiaoyi; Su, Kai; Zhang, Huanchen",dl.acm.org,,10.1145/3654954,10.1145/3654954,https://dl.acm.org/doi/abs/10.1145/3654954,"Learned indexes have been demonstrated to outperform traditional ones in memory-resident scenarios. However, recent studies show that they fail to outperform B+tree when extended to disks directly. In this paper, we argue that it is feasible to create efficient disk-based learned indexes by applying a set of general transformations and optimizations to existing in-memory ones. Through theoretical analysis and controlled experiments, we propose six transformation guidelines applicable to various state-of-the-art learned index structures to fully leverage the characteristics of disk storage. Our evaluation shows that the indexes developed by applying our guidelines achieve a Pareto improvement in both throughput and space efficiency compared to the traditional B+tree and previous implementations of disk-based learned indexes.",2024-05,2025-12-21 21:44:04,2025-12-21 21:44:04,,26-26,,3,2,,,,,,,,,,,,,,,,,Publisher: Entomological Society of America,,,,learned indexes; disk-based indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
